No.,Scan date,Scan time,Model,Production date,Shift,Line,Quantity
303,16-04-2026,16:57:09,Model39,16-04-2026,B/Day,20,634
303,14-02-2026,10:56:25,Model5,14-02-2026,B/Day,40,245
303,11-04-2026,07:42:24,Model56,11-04-2026,B/Day,30,260
303,09-02-2026,09:44:43,Model42,09-02-2026,B/Day,30,458
303,16-04-2026,13:04:49,Model33,16-04-2026,B/Day,34,448
303,01-04-2026,16:15:44,Model9,01-04-2026,B/Day,31,366
303,28-03-2026,07:34:06,Model40,28-03-2026,B/Day,33,681
303,10-04-2026,18:21:07,Model1,10-04-2026,B/Day,34,581
303,11-03-2026,19:21:19,Model36,11-03-2026,B/Day,40,625
303,16-04-2026,15:00:48,Model53,16-04-2026,B/Day,34,318
303,07-04-2026,19:02:55,Model13,07-04-2026,B/Day,34,517
303,15-04-2026,10:20:52,Model25,15-04-2026,B/Day,32,564
303,26-03-2026,18:38:03,Model37,26-03-2026,B/Day,33,528
303,29-03-2026,18:00:57,Model27,29-03-2026,B/Day,34,395
303,19-02-2026,12:39:44,Model35,19-02-2026,B/Day,33,454
303,22-02-2026,20:33:41,Model21,22-02-2026,B/Night,34,217
303,10-02-2026,03:52:30,Model36,10-02-2026,B/Night,33,274
303,25-02-2026,23:08:37,Model16,25-02-2026,B/Night,40,314
303,17-02-2026,03:26:15,Model45,17-02-2026,B/Night,33,361
303,22-03-2026,20:06:13,Model12,22-03-2026,B/Night,31,542
303,08-04-2026,00:14:23,Model20,08-04-2026,B/Night,33,365
303,05-04-2026,01:25:55,Model55,05-04-2026,B/Night,32,243
303,18-03-2026,21:46:54,Model43,18-03-2026,B/Night,34,538
303,13-03-2026,22:14:27,Model1,13-03-2026,B/Night,40,647
303,28-02-2026,00:01:04,Model27,28-02-2026,B/Night,40,630
303,11-04-2026,01:29:28,Model54,11-04-2026,B/Night,34,479
303,17-03-2026,23:14:17,Model38,17-03-2026,B/Night,30,480
303,16-02-2026,11:56:33,Model40,16-02-2026,B/Day,20,373
303,09-04-2026,05:46:19,Model1,09-04-2026,B/Night,33,629
303,24-03-2026,20:11:51,Model33,24-03-2026,B/Night,30,511
303,13-03-2026,05:16:14,Model54,13-03-2026,B/Night,30,678
303,21-03-2026,23:36:09,Model44,21-03-2026,B/Night,30,207
303,04-04-2026,22:06:35,Model49,04-04-2026,B/Night,31,287
303,18-02-2026,04:02:25,Model53,18-02-2026,B/Night,40,235
303,05-03-2026,03:43:12,Model39,05-03-2026,B/Night,30,362
303,19-04-2026,06:53:07,Model55,19-04-2026,B/Night,31,420
303,08-04-2026,22:44:05,Model55,08-04-2026,B/Night,40,314
303,17-02-2026,19:35:38,Model13,17-02-2026,B/Night,34,337
303,17-04-2026,13:41:53,Model36,17-04-2026,A/Day,34,266
303,05-02-2026,22:14:40,Model44,05-02-2026,A/Night,30,202
303,07-02-2026,22:39:16,Model54,07-02-2026,A/Night,33,611
303,15-04-2026,07:49:41,Model12,15-04-2026,B/Day,34,377
303,24-02-2026,12:29:58,Model37,24-02-2026,B/Day,30,656
303,14-04-2026,08:00:57,Model44,14-04-2026,B/Day,20,582
303,06-03-2026,19:19:02,Model16,06-03-2026,B/Day,20,658
303,18-04-2026,12:00:25,Model28,18-04-2026,B/Day,40,561
303,29-03-2026,11:56:45,Model15,29-03-2026,B/Day,33,379
303,07-04-2026,09:51:19,Model28,07-04-2026,B/Day,20,252
303,05-04-2026,10:38:17,Model29,05-04-2026,B/Day,30,647
303,25-03-2026,08:05:33,Model25,25-03-2026,A/Day,32,406
303,26-03-2026,12:44:49,Model59,26-03-2026,A/Day,20,238
303,16-02-2026,15:45:25,Model13,16-02-2026,A/Day,34,540
303,19-03-2026,17:53:23,Model39,19-03-2026,A/Day,31,681
303,19-04-2026,14:39:33,Model48,19-04-2026,A/Day,34,255
303,19-03-2026,16:20:19,Model28,19-03-2026,A/Day,32,349
303,13-04-2026,15:37:43,Model40,13-04-2026,A/Day,34,406
303,08-04-2026,11:44:22,Model39,08-04-2026,A/Day,34,425
303,10-02-2026,09:14:33,Model4,10-02-2026,A/Day,20,254
303,02-02-2026,07:46:42,Model13,02-02-2026,A/Day,20,385
303,20-04-2026,16:56:39,Model33,20-04-2026,A/Day,34,627
303,20-04-2026,07:35:34,Model3,20-04-2026,A/Day,33,509
303,26-02-2026,19:07:12,Model24,26-02-2026,A/Day,32,210
303,01-04-2026,11:28:45,Model20,01-04-2026,A/Day,30,396
303,01-02-2026,07:57:12,Model25,01-02-2026,A/Day,33,461
303,09-02-2026,11:16:18,Model8,09-02-2026,A/Day,40,688
303,19-02-2026,13:23:51,Model1,19-02-2026,A/Day,32,392
303,26-02-2026,09:53:23,Model55,26-02-2026,A/Day,32,512
303,03-03-2026,09:09:51,Model33,03-03-2026,A/Day,32,275
303,18-02-2026,13:11:14,Model48,18-02-2026,A/Day,32,222
303,27-03-2026,18:25:18,Model53,27-03-2026,A/Day,31,657
303,09-04-2026,14:15:22,Model54,09-04-2026,A/Day,40,282
303,20-03-2026,10:28:19,Model14,20-03-2026,A/Day,40,544
303,05-03-2026,17:59:47,Model8,05-03-2026,A/Day,30,538
303,01-04-2026,18:31:21,Model33,01-04-2026,A/Day,34,337
303,18-02-2026,17:47:18,Model47,18-02-2026,B/Day,34,409
303,01-02-2026,18:01:21,Model21,01-02-2026,B/Day,33,549
303,01-04-2026,17:06:54,Model15,01-04-2026,B/Day,40,572
303,07-02-2026,09:25:59,Model47,07-02-2026,B/Day,33,554
303,14-04-2026,11:57:44,Model36,14-04-2026,B/Day,33,215
303,04-02-2026,16:27:48,Model36,04-02-2026,B/Day,33,416
303,11-04-2026,17:10:13,Model5,11-04-2026,B/Day,30,382
303,15-02-2026,17:43:28,Model8,15-02-2026,B/Day,34,305
303,07-03-2026,14:30:53,Model20,07-03-2026,B/Day,32,574
303,28-02-2026,16:52:11,Model8,28-02-2026,B/Day,20,453
303,03-02-2026,22:19:54,Model56,03-02-2026,B/Night,40,655
303,18-04-2026,03:11:34,Model38,18-04-2026,B/Night,40,395
303,21-04-2026,22:41:57,Model25,21-04-2026,B/Night,40,629
303,23-02-2026,03:05:58,Model20,23-02-2026,B/Night,30,268
303,14-02-2026,02:04:20,Model45,14-02-2026,B/Night,20,313
303,06-04-2026,04:53:19,Model13,06-04-2026,B/Night,20,258
303,05-04-2026,02:16:41,Model6,05-04-2026,B/Night,34,388
303,11-02-2026,00:55:28,Model30,11-02-2026,B/Night,30,461
303,25-02-2026,22:38:08,Model27,25-02-2026,B/Night,20,368
303,01-04-2026,06:43:50,Model26,01-04-2026,A/Night,30,249
303,22-02-2026,06:25:52,Model50,22-02-2026,A/Night,33,465
303,06-02-2026,07:15:19,Model20,06-02-2026,A/Night,40,379
303,11-02-2026,03:19:25,Model42,11-02-2026,A/Night,31,413
303,06-03-2026,22:42:10,Model6,06-03-2026,A/Night,32,545
303,01-04-2026,02:22:46,Model14,01-04-2026,A/Night,32,690
303,11-03-2026,03:25:14,Model42,11-03-2026,A/Night,40,451
303,06-02-2026,02:48:52,Model27,06-02-2026,A/Night,20,616
303,05-05-2026,03:19:25,Model42,05-05-2026,A/Night,31,413
303,05-05-2026,22:42:10,Model6,05-05-2026,A/Night,32,545
303,05-05-2026,02:22:46,Model14,05-05-2026,A/Night,32,690
303,05-05-2026,03:25:14,Model42,05-05-2026,A/Night,40,451
303,05-05-2026,02:48:52,Model27,05-05-2026,A/Night,20,616
505,16-04-2026,03:01:47,Model45,16-04-2026,A/Day,31,271
506,13-04-2026,03:43:47,Model21,13-04-2026,A/Night,33,416
507,05-05-2026,00:05:13,Model43,05-05-2026,A/Night,33,301
508,14-04-2026,20:44:34,Model27,14-04-2026,A/Day,30,501
509,28-04-2026,00:48:51,Model31,28-04-2026,B/Night,20,342
510,02-05-2026,06:48:21,Model52,02-05-2026,A/Night,30,249
511,25-04-2026,11:38:16,Model40,25-04-2026,A/Night,34,435
512,19-04-2026,03:59:24,Model28,19-04-2026,B/Day,40,521
513,17-04-2026,11:36:12,Model6,17-04-2026,A/Night,32,538
514,29-04-2026,09:05:54,Model43,29-04-2026,A/Night,30,342
515,22-04-2026,20:53:23,Model31,22-04-2026,B/Day,20,307
516,15-04-2026,08:44:59,Model17,15-04-2026,A/Night,33,525
517,01-05-2026,17:46:15,Model31,01-05-2026,B/Night,30,338
518,07-04-2026,20:44:35,Model43,07-04-2026,B/Day,40,593
519,12-04-2026,01:14:52,Model47,12-04-2026,B/Day,30,337
520,04-05-2026,06:58:36,Model48,04-05-2026,B/Day,31,535
521,21-04-2026,12:56:58,Model35,21-04-2026,B/Night,31,335
522,02-05-2026,07:47:35,Model12,02-05-2026,B/Day,34,499
523,23-04-2026,18:25:23,Model43,23-04-2026,A/Day,33,452
524,04-05-2026,01:55:07,Model59,04-05-2026,A/Day,40,548
525,23-04-2026,19:04:24,Model26,23-04-2026,B/Night,33,328
526,19-04-2026,00:43:46,Model14,19-04-2026,B/Day,40,528
527,26-04-2026,03:18:27,Model31,26-04-2026,B/Night,32,688
528,13-04-2026,23:16:32,Model56,13-04-2026,A/Day,33,667
529,03-05-2026,20:19:53,Model34,03-05-2026,A/Day,31,391
530,12-04-2026,05:34:49,Model54,12-04-2026,A/Night,33,365
531,21-04-2026,00:07:59,Model38,21-04-2026,B/Day,31,229
532,29-04-2026,18:05:05,Model10,29-04-2026,B/Night,40,235
533,12-04-2026,17:49:08,Model1,12-04-2026,B/Night,33,284
534,28-04-2026,16:55:38,Model36,28-04-2026,A/Day,33,586
535,13-04-2026,22:12:45,Model18,13-04-2026,B/Night,34,532
536,25-04-2026,14:57:33,Model16,25-04-2026,A/Night,31,315
537,04-05-2026,10:01:37,Model11,04-05-2026,A/Day,33,312
538,06-05-2026,02:45:40,Model20,06-05-2026,A/Day,32,663
539,05-05-2026,10:04:32,Model55,05-05-2026,B/Day,34,448
540,30-04-2026,17:08:46,Model48,30-04-2026,B/Night,31,601
541,21-04-2026,13:12:06,Model52,21-04-2026,B/Night,20,416
542,23-04-2026,14:55:46,Model20,23-04-2026,A/Night,32,406
543,13-04-2026,10:51:55,Model52,13-04-2026,A/Day,31,297
544,19-04-2026,14:08:27,Model25,19-04-2026,B/Day,30,327
545,09-04-2026,02:28:51,Model3,09-04-2026,A/Night,32,533
546,19-04-2026,00:05:59,Model56,19-04-2026,A/Day,31,408
547,21-04-2026,15:13:55,Model29,21-04-2026,A/Night,31,394
548,06-05-2026,12:16:59,Model15,06-05-2026,B/Night,20,416
549,14-04-2026,23:50:35,Model39,14-04-2026,B/Night,31,297
550,27-04-2026,06:03:37,Model46,27-04-2026,A/Night,34,360
551,05-05-2026,01:37:30,Model8,05-05-2026,A/Day,32,691
552,20-04-2026,02:54:11,Model58,20-04-2026,A/Night,34,641
553,29-04-2026,12:07:56,Model2,29-04-2026,A/Day,33,504
554,05-05-2026,19:05:26,Model39,05-05-2026,B/Day,20,304
